round,dest,start_min,start_mean,end_mean,end_max,dur_s,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes,start_std,end_std,dur_s_std,tx_kbit_s_std,rx_kbit_s_std,throughput_kbit_s_std,mean_delay_ms_std,mean_jitter_ms_std,packet_loss_pct_std,delivery_ratio_pct_std,tx_pkts_std,rx_pkts_std,tx_bytes_std,rx_bytes_std
6,1.0.0.2,25.1761,25.945073333333333,30.945073333333333,31.0,5.0,4801.586560000001,4643.0224,4643.0224,24.278675323314086,1.9306156891992132,10.890463121290935,89.10953687870906,4640.0,4134.0,3000992.0,2901889.0,0.2127300652626856,0.2127300652626856,0.0,1186.1763166242004,1230.916773287831,1230.916773287831,6.1480265813704875,0.4673353775069077,11.964250772197396,11.964250772197397,716.0,974.0,741360.0,769323.0
6,5.0.0.2,25.1761,25.945073333333333,30.945073333333333,31.0,5.0,13666.743893333334,4275.146773333333,4275.146773333333,8.27175136748996,1.229752715583086,68.7179781923279,31.2820218076721,8119.0,2540.0,8541715.0,2671967.0,0.2127300652626856,0.2127300652626856,0.0,7737.334350618663,1119.0889978418743,1119.0889978418743,1.5364421162905646,0.6682465019622482,26.802183499758442,26.802183499758442,4597.0,665.0,4835834.0,699431.0
7,1.0.0.2,30.1761,30.945073333333333,35.90931333333333,36.0,4.964238,4960.541859596578,4814.887924390409,4814.887924390409,20.1476796501969,1.8428364059808022,8.989346063923616,91.01065393607638,4762.0,4334.0,3078164.0,2987781.0,0.2127300652626856,0.24541147623260587,0.1385056304270696,1220.6989779253408,1257.62176011289,1257.62176011289,4.270348067189884,0.35821022566298105,8.625374020595622,8.625374020595622,723.0,805.0,670998.0,695873.0
7,5.0.0.2,30.1761,30.945073333333333,35.90931333333333,36.0,4.964238,10063.449818481708,4072.1202058939693,4072.1202058939693,8.120186107349022,1.1437069224300622,59.53233976122823,40.46766023877177,5936.0,2402.0,6244670.0,2526872.0,0.2127300652626856,0.24541147623260587,0.1385056304270696,4764.115865562695,1220.0241256236636,1220.0241256236636,1.343885484153,0.6533790062166354,23.8227082742993,23.8227082742993,2855.0,740.0,3003147.0,778175.0
8,1.0.0.2,35.1761,35.90931333333333,40.90931333333333,41.0,5.0,4820.201493333334,4620.414400000001,4620.414400000001,21.557665424413774,2.0726725347499473,9.684018426126245,90.31598157387376,4530.0,4091.0,3012626.0,2887759.0,0.24541147623260587,0.24541147623260587,0.0,1182.2037733020813,1202.5320828995555,1202.5320828995555,3.895211054835704,0.595868850269044,8.074830466851003,8.074830466851003,788.0,884.0,738877.0,751583.0
8,5.0.0.2,35.1761,35.90931333333333,40.90931333333333,41.0,5.0,8205.667626666667,3940.364373333333,3940.364373333333,7.958664326802598,1.084710585089418,51.9787763586139,48.0212236413861,4875.0,2341.0,5128542.0,2462728.0,0.24541147623260587,0.24541147623260587,0.0,4250.6472448333025,1307.7185572774983,1307.7185572774983,1.1281132008919437,0.6325106014247245,23.865465528291743,23.865465528291743,2525.0,777.0,2656655.0,817324.0
9,1.0.0.2,40.1761,40.90931333333333,45.90931333333333,46.0,5.0,4956.408426666667,4801.316906666666,4801.316906666666,21.702556265344953,1.8523352211207955,5.652073198980774,94.34792680101923,4605.0,4345.0,3097755.0,3000823.0,0.24541147623260587,0.24541147623260587,0.0,1460.8557704615391,1507.5775146951291,1507.5775146951291,6.697461142495572,0.5030421366900731,10.927763973903183,10.927763973903184,833.0,1007.0,913035.0,942236.0
9,5.0.0.2,40.1761,40.90931333333333,45.90931333333333,46.0,5.0,7407.7252266666665,3877.857066666667,3877.857066666667,7.7902864848519915,1.040344345351428,47.648983548944166,52.351016451055834,4401.0,2304.0,4629828.0,2423661.0,0.24541147623260587,0.24541147623260587,0.0,3692.466017056434,1293.9141744745707,1293.9141744745707,0.9903352533840437,0.6509024043517109,22.581332942400195,22.581332942400195,2194.0,769.0,2307791.0,808696.0
10,1.0.0.2,45.1761,45.90931333333333,50.90931333333333,51.0,5.0,5206.299306666667,4991.79296,4991.79296,24.540942020799314,2.013810219613727,10.448527958901403,89.55147204109859,5061.0,4532.0,3253937.0,3119871.0,0.24541147623260587,0.24541147623260587,0.0,1277.2711466267447,1321.2846943396248,1321.2846943396248,6.9329175029262355,0.43514469745241335,11.021390031639132,11.021390031639134,627.0,935.0,798294.0,825803.0
10,5.0.0.2,45.1761,45.90931333333333,50.90931333333333,51.0,5.0,7017.191466666666,3845.4693333333335,3845.4693333333335,7.673369498103297,1.0129720346367086,45.19781239005981,54.80218760994019,4169.0,2285.0,4385745.0,2403418.0,0.24541147623260587,0.24541147623260587,0.0,3569.485733272421,1268.06668476572,1268.06668476572,0.927921460604034,0.6604751760069052,23.182013274940374,23.182013274940374,2120.0,753.0,2230929.0,792542.0
