round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
33,160.645,165.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
34,165.645,170.645,5,1.0.0.2,4118.08,3934.24,3934.24,14.9134,2.08498,3.64047,96.3595,3983,3838,2573800,2458899
34,165.645,170.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
35,170.645,175.645,5,1.0.0.2,6028.08,5894.29,5894.29,27.0011,2.12933,1.19686,98.8031,4846,4788,3767551,3683930
35,170.645,175.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
36,175.645,180.645,5,1.0.0.2,3608.44,3508.51,3508.51,13.3424,2.41043,1.51675,98.4832,2835,2792,2255276,2192820
36,175.645,180.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
37,180.645,185.645,5,1.0.0.2,4734.92,4679.12,4679.12,19.0431,1.48266,0.632078,99.3679,3797,3773,2959324,2924451
37,180.645,185.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
38,185.645,190.645,5,1.0.0.2,5869.5,5834.74,5834.74,31.4772,1.49495,0.323485,99.6765,4637,4622,3668440,3646712
38,185.645,190.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
39,190.645,195.645,5,1.0.0.2,3854.08,3810.68,3810.68,19.5697,1.37537,0.614688,99.3853,3091,3072,2408803,2381677
39,190.645,195.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
40,195.645,200.645,5,1.0.0.2,2790.55,2682.89,2682.89,11.7722,1.76241,1.87427,98.1257,2561,2513,1744092,1676805
40,195.645,200.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
41,200.645,205.645,5,1.0.0.2,4893.94,4739.71,4739.71,17.0695,2.16567,1.69579,98.3042,3892,3826,3058710,2962320
41,200.645,205.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
42,205.645,210.645,5,1.0.0.2,2943.27,2825.5,2825.5,22.4448,2.42483,2.39464,97.6054,2088,2038,1839541,1765939
42,205.645,210.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
43,210.645,215.645,5,1.0.0.2,3505.45,3505.38,3505.38,23.9421,1.439,0,100,2800,2800,2190907,2190860
43,210.645,215.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
44,215.645,220.645,5,1.0.0.2,2399.93,2344.22,2344.22,13.2629,1.60283,1.2314,98.7686,1949,1925,1499955,1465138
44,215.645,220.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
45,220.645,225.645,5,1.0.0.2,4719.46,4663.74,4663.74,26.3662,1.3176,0.649351,99.3506,3696,3672,2949663,2914836
45,220.645,225.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
46,225.645,230.645,5,1.0.0.2,4771.64,4678.73,4678.73,19.195,1.88529,1.06101,98.939,3770,3730,2982276,2924204
46,225.645,230.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
47,230.645,235.645,5,1.0.0.2,1219.51,1161.4,1161.4,50.2415,1.46596,3.02663,96.9734,826,801,762192,725876
47,230.645,235.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
48,235.645,240.645,5,1.0.0.2,6748.06,6675.63,6675.63,18.1624,1.17632,0.62523,99.3748,5438,5404,4217537,4172271
48,235.645,240.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
49,240.645,245.645,5,1.0.0.2,6661.65,6462.31,6462.31,24.4406,1.94072,1.64218,98.3578,5785,5690,4163534,4038942
49,240.645,245.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
50,245.645,250.645,5,1.0.0.2,4759.31,4688.49,4688.49,19.2158,1.49281,0.810246,99.1898,3826,3795,2974571,2930304
50,245.645,250.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
51,250.645,255.645,5,1.0.0.2,5833.08,5733.08,5733.08,20.8804,1.46743,0.913242,99.0868,4818,4774,3645678,3583176
