flow_id,src,sport,dst,dport,start,end,active_s,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
648,7.0.0.97,49156,1.0.0.2,9,296.11,301,4.88999,1197.42,1197.42,1197.42,44.0269,1.22886,0,100,960,960,731924,731924
650,7.0.0.59,49154,1.0.0.2,9,296.119,0,0,0,0,0,0,0,100,0,3,0,164,0
651,7.0.0.117,49154,1.0.0.2,9,296.133,301,4.86699,1204.79,1204.79,1204.79,29.6364,1.45198,0,100,980,980,732964,732964
652,7.0.0.132,49155,1.0.0.2,9,296.138,301,4.86199,1206.03,1206.03,1206.03,30.9691,1.44563,0,100,980,980,732964,732964
655,7.0.0.132,49156,1.0.0.2,9,301.008,306,4.99199,1173.71,1173.71,1173.71,11.2212,1.01036,0,100,969,969,732392,732392
656,7.0.0.64,49154,1.0.0.2,9,301.012,306,4.98799,1173.9,1173.9,1173.9,24.25,0.993509,0,100,960,960,731924,731924
658,7.0.0.116,49155,1.0.0.2,9,301.025,0,0,0,0,0,0,0,100,0,3,0,164,0
659,7.0.0.72,49153,1.0.0.2,9,301.028,306,4.97199,1177.68,1177.68,1177.68,18.467,0.89381,0,100,960,960,731924,731924
661,7.0.0.33,49155,1.0.0.2,9,301.032,0,0,0,0,0,0,0,100,0,3,0,164,0
663,7.0.0.42,49154,1.0.0.2,9,301.185,306.001,4.81599,1237.61,1213.49,1213.49,10.8288,1.76523,1.06045,98.9396,943,933,745040,730520
665,7.0.0.39,49156,1.0.0.2,9,306.053,0,0,0,0,0,0,0,100,0,3,0,164,0
666,7.0.0.58,49159,1.0.0.2,9,306.068,310.419,4.3515,873.278,803.873,803.873,14.7381,2.90914,4.14673,95.8533,627,601,475008,437256
668,7.0.0.3,49156,1.0.0.2,9,306.098,311,4.90199,1192.71,1192.71,1192.71,31.6696,1.10365,0,100,939,939,730832,730832
670,7.0.0.43,49156,1.0.0.2,9,306.117,311,4.88349,1198.76,1198.76,1198.76,29.6981,1.31168,0,100,957,957,731768,731768
671,7.0.0.80,49155,1.0.0.2,9,306.127,0,0,0,0,0,0,0,100,0,3,0,164,0
673,7.0.0.35,49154,1.0.0.2,9,306.181,311.001,4.81999,1214.21,1214.21,1214.21,21.4413,1.22458,0,100,953,953,731560,731560
675,7.0.0.51,49153,1.0.0.2,9,310.994,315.998,5.00449,1237.31,1160.72,1160.72,16.2862,2.97116,3.74574,96.2543,881,848,774016,726100
677,7.0.0.24,49155,1.0.0.2,9,311.041,316,4.95946,1216.37,1181.23,1181.23,17.541,2.36435,1.57068,98.4293,955,940,754064,732284
679,7.0.0.93,49154,1.0.0.2,9,311.094,316.013,4.91899,1211.53,1190.28,1190.28,26.3711,1.88944,0.929752,99.0702,968,959,744940,731872
681,7.0.0.110,49158,1.0.0.2,9,311.121,0,0,0,0,0,0,0,100,0,3,0,164,0
682,7.0.0.55,49155,1.0.0.2,9,311.121,0,0,0,0,0,0,0,100,0,3,0,164,0
683,7.0.0.62,49157,1.0.0.2,9,311.185,316,4.81496,1212.89,1212.89,1212.89,19.5726,1.02972,0,100,923,923,730000,730000
685,7.0.0.37,49154,1.0.0.2,9,316.003,319.458,3.45499,1696.82,1696.82,1696.82,14.1699,0.898655,0,100,979,979,732812,732812
686,7.0.0.45,49156,1.0.0.2,9,316.004,319.458,3.45399,1697.06,1697.06,1697.06,17.5192,0.810432,0,100,975,975,732704,732704
689,7.0.0.76,49155,1.0.0.2,9,316.067,319.462,3.39499,1797.91,1722.64,1722.64,42.0762,1.27054,2.27508,97.7249,967,945,762988,731044
691,7.0.0.9,49156,1.0.0.2,9,316.101,319.458,3.35699,1752.03,1745.11,1745.11,22.6858,1.12274,0.205973,99.794,971,969,735196,732292
693,7.0.0.65,49154,1.0.0.2,9,316.127,319.461,3.33396,1805.08,1756.3,1756.3,13.1806,1.79978,1.43443,98.5656,976,962,752256,731928
694,7.0.0.101,49155,1.0.0.2,9,316.14,319.458,3.31799,1764.87,1764.87,1764.87,30.0581,0.98191,0,100,963,963,731980,731980
