round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
30,146,151,5,1.0.0.2,5863.31,5860.92,5860.92,20.7521,1.49388,0.0204457,99.9796,4891,4890,3664568,3663075
30,146,151,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
31,151,156,5,1.0.0.2,4903.75,4743.8,4743.8,15.2025,1.89913,1.45228,98.5477,4820,4750,3064845,2964872
31,151,156,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
32,156,161,5,1.0.0.2,3807.29,3702.74,3702.74,18.1603,1.67456,11.0294,88.9706,3536,3146,2379559,2314211
32,156,161,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
33,161,166,5,1.0.0.2,5908.72,5753.49,5753.49,22.7627,1.57326,1.2758,98.7242,5330,5262,3692951,3595929
33,161,166,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
34,166,171,5,1.0.0.2,4860.21,4646.95,4646.95,18.2257,2.57208,9.03666,90.9633,4692,4268,3037629,2904347
34,166,171,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
35,171,176,5,1.0.0.2,2695.17,2629.25,2629.25,15.1164,1.74477,14.2802,85.7198,2577,2209,1684480,1643280
35,171,176,5,5.0.0.2,5663.6,4071.87,4071.87,7.62584,0.68605,28.1129,71.8871,3365,2419,3539750,2544917
36,176,181,5,1.0.0.2,5622.76,5488.3,5488.3,15.8037,1.7839,1.23116,98.7688,4711,4653,3514228,3430185
36,176,181,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
37,181,186,5,1.0.0.2,3345.64,3187.26,3187.26,18.0878,1.85289,10.7997,89.2003,3889,3469,2091028,1992037
37,181,186,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
38,186,191,5,1.0.0.2,5551.6,5333.37,5333.37,23.1917,1.50913,1.79904,98.201,5225,5131,3469752,3333354
38,186,191,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
39,191,196,5,1.0.0.2,4623.05,4472.07,4472.07,16.7857,1.49497,1.48045,98.5195,4323,4259,2889404,2795042
39,191,196,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
40,196,201,5,1.0.0.2,4702.85,4681.74,4681.74,17.8162,1.6656,0.255297,99.7447,3917,3907,2939284,2926089
40,196,201,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
41,201,206,5,1.0.0.2,5890.59,5871.99,5871.99,25.0914,1.88753,0.163165,99.8368,4903,4895,3681621,3669995
