round,ndi0,ndi1,ndi0_std,ndi1_std
76,245.86666666666667,4612.866666666667,137.48083849170018,2215.018699265367
77,306.73333333333335,5035.8,184.01920189661368,1950.7790824620376
78,252.46666666666667,4414.533333333334,142.43137027388047,1641.018754426942
79,273.73333333333335,4606.666666666667,164.37694775235653,2900.5465412737713
80,219.66666666666666,3957.9333333333334,134.29321154349788,1522.1060347270097
81,256.6,4489.466666666666,194.13868386137926,1814.0243685033038
82,251.46666666666667,4178.866666666667,157.9244243602737,1757.8899635100952
83,251.33333333333334,4285.8,173.6094412618107,1813.846945819063
84,214.33333333333334,4168.333333333333,175.41569675107942,2081.6530061696735
85,269.1333333333333,5197.666666666667,160.2996598635847,2032.4131212029936
86,282.6,5218.4,171.00618201022525,2043.7952721067036
87,277.8666666666667,4622.6,161.2499686231051,2089.757087729166
88,169.93333333333334,3927.0,96.02043433313459,2063.3918677749994
89,214.46666666666667,4391.933333333333,103.78264833409338,2866.5659262476083
90,154.8,4267.4,143.25212538936876,1708.3178359343524
91,214.6,5120.066666666667,136.69402745861703,2562.6117945416177
92,274.4,6186.733333333334,136.49113001008004,2927.2937152322274
93,253.53333333333333,4544.666666666667,170.26360514829716,2166.7142229213164
94,214.2,5426.533333333334,84.60091184918923,2434.211631445932
95,229.93333333333334,4421.6,136.66615563202944,2046.0579100867528
96,256.0,5114.266666666666,151.80062111674172,2588.060069590643
97,271.3333333333333,4827.2,156.2464475786646,2536.7675213040034
98,239.46666666666667,4582.266666666666,160.43239193178036,2254.8662445813457
99,174.13333333333333,5027.2,132.23780887188843,2873.6770919105415
100,277.26666666666665,5105.333333333333,111.39855517572073,1654.1866221658247
